id,category,difficulty,lang,media_type,media_url,content_markdown,prompt,model_answer,reference,tags,source,expected_dimensions,relevance_score,accuracy_score,format_score,safety_score,issue_tags,summary,comment,revision_suggestion,structured_note,evidence_file,evidence_image
V0002,视频描述,简单,zh,video,http://vjs.zencdn.net/v/oceans.mp4,,为该视频生成一句不超过 30 字的中文内容简介。,一段展现海洋与海底生物的高清纪录短片。,需准确概括为海洋/海底主题且简短。,视频｜描述生成,media_seed,相关性｜准确性｜格式合规,5,5,5,5,,修订后质量良好,V0002：已按审核意见补充修订。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""revision"",""verdict"":""pass"",""externalId"":""V0002""}",,
I0001,图像描述,简单,zh,image,https://www.w3schools.com/w3css/img_lights.jpg,,请描述这张图片的主要内容。,一条夜间公路伸向远方，天空出现绚丽的极光，整体为自然风光。,需指出公路与极光/夜空等关键元素。,图片｜图像描述｜风光,media_seed,相关性｜准确性,5,5,5,5,,整体质量良好,I0001：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""I0001""}",,
I0002,图像审核,中等,zh,image,https://www.w3schools.com/w3css/img_lights.jpg,,判断该图片是否包含违规、敏感或不适内容。,图片为自然风光（公路与极光），不含违规、敏感或不适内容。,应判定为安全合规的风景图。,图片｜内容审核,media_seed,安全性,5,5,5,5,,整体质量良好,I0002：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""I0002""}",,
I0003,图像 OCR,简单,zh,image,https://dummyimage.com/600x400/4CAF50/fff&text=test,,识别并输出图片中出现的文字。,图片中的文字为：test。,正确识别占位图中的文本「test」。,图片｜OCR｜占位图,media_seed,准确性｜格式合规,5,5,5,5,,整体质量良好,I0003：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""I0003""}",,
I0004,图像质检,中等,zh,image,https://dummyimage.com/600x400/4CAF50/fff&text=test,,判断该图片是否为占位图/测试图，并说明判断依据。,为纯绿底白字「test」的占位测试图，非真实业务图片，应在清洗阶段剔除。,应识别为占位/测试图并建议剔除。,图片｜质检｜占位图,media_seed,准确性,5,5,5,5,,整体质量良好,I0004：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""I0004""}",,
M0001,图文审核,中等,zh,markdown,,"# 海洋探索周报

本周收集了若干海洋相关素材，供标注参考。

下面是一张夜景示例图：

![夜间公路与极光](https://www.w3schools.com/w3css/img_lights.jpg)

配套的海洋纪录短片如下：

<video src=""http://vjs.zencdn.net/v/oceans.mp4"" controls width=""600""></video>

请结合图文判断内容是否合规。",请审核以下 Markdown 图文混排内容的排版质量与合规性。,图文排版规范，含一张风景图与一段海洋视频，内容安全合规，可通过。,需评估排版与合规，结论应为通过。,markdown｜图文｜内容审核,media_seed,格式合规｜安全性｜相关性,5,5,5,5,,整体质量良好,M0001：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""M0001""}",,
M0002,图文质检,困难,zh,markdown,,"## 媒体资源校验

测试占位图：

![测试占位图](https://dummyimage.com/600x400/4CAF50/fff&text=test)

风景实拍图：

![极光公路](https://www.w3schools.com/w3css/img_lights.jpg)

演示视频：

<video src=""http://vjs.zencdn.net/v/oceans.mp4"" controls></video>",判断该 Markdown 能否正确渲染，并标注其中的图片与视频数量。,可正常渲染，包含 2 张图片与 1 个视频，其中 1 张为占位测试图。,图片 2 张、视频 1 个；需指出含占位图。,markdown｜媒体校验｜质检,media_seed,格式合规｜准确性,5,5,5,5,,整体质量良好,M0002：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""M0002""}",,
M0003,图文摘要,中等,zh,markdown,,"### 产品介绍：极光之旅

极光之旅带你领略夜空下的绚丽风光与深邃海洋。

![极光](https://www.w3schools.com/w3css/img_lights.jpg)

观看宣传片：

[海洋宣传片](http://vjs.zencdn.net/v/oceans.mp4)

立即开启你的旅程！",为以下 Markdown 图文内容生成一句中文摘要。,「极光之旅」主打夜空极光与海洋风光，配有风景图与宣传片，邀请用户开启旅程。,需覆盖极光、海洋及产品宣传意图。,markdown｜图文｜摘要,media_seed,相关性｜准确性｜格式合规,5,5,5,5,,整体质量良好,M0003：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""M0003""}",,
V0001,视频审核,中等,zh,video,http://vjs.zencdn.net/v/oceans.mp4,,请观看视频，判断是否包含违规或不适画面，并简述视频主题。,视频为海洋/海底生物的高清纪录画面，主题为海洋生态，未发现违规或不适内容。,海洋题材纪录短片，安全合规。,视频｜内容审核｜海洋,media_seed,安全性｜相关性,5,5,5,5,,整体质量良好,V0001：回答基本满足要求。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""initial"",""verdict"":""pass"",""externalId"":""V0001""}",,
V0003,视频质检,中等,zh,video,http://vjs.zencdn.net/v/oceans.mp4,,标注该视频的清晰度与画面稳定性，并给出是否可用于训练的结论。,画面清晰、镜头平稳，无明显抖动或马赛克，可用于训练。,评估清晰度/稳定性，给出可用性结论。,视频｜质检,media_seed,准确性｜格式合规,5,5,5,5,,修订后质量良好,V0003：已按审核意见补充修订。 未发现明显事实、安全或格式问题。,<p>无需进一步修改。</p>,"{""round"":""revision"",""verdict"":""pass"",""externalId"":""V0003""}",,
